centre_code,centre_name,postal_code,Latitude,Longitude
PT9181,SAFARI HOUSE PRESCHOOL TAMPINES,485996,1.3428,103.9641
PT9443,SUPERLAND PRE-SCHOOL @ KACC,88995,1.2812,103.843
PT8682,THE KIDZ ZONE PTE LTD,85401,1.2769,103.8415
RC1860,HOLY GRACE KINDERCARE,466484,1.3141,103.9395
PT9630,Children's Vineyard Kindergarten,428103,1.3129,103.903
WP0280,LEARNING VISION @ WORK PTE. LTD.,308433,1.3208,103.8468
PT8696,Little Footprints Preschool Pte Ltd,109840,1.2832,103.8068
PT9458,SUNFLOWER PRESCHOOL @ MINDEF PTE. LTD.,109681,1.2803,103.8141
PT4530,Appleland Playhouse Pte Ltd,103104,1.2805,103.8116
PT9498,Star Learners @ Telok Blangah Pte Ltd,102078,1.2736,103.8083
NT0497,MY FIRST SKOOL,100063,1.2748,103.8109
PT8934,KidsCampus TPCC Pte Ltd,89774,1.2762,103.8416
PT9746,Arts Kidz Pre-School Pte Ltd,88702,1.2735,103.8334
NT0517,MY FIRST SKOOL,82002,1.2752,103.8427
PT8935,STAR LEARNERS @ TANJONG PAGAR PTE. LTD.,82001,1.2757,103.8426
PT8749,MULBERRY LEARNING CENTRE@TANJONG PAGAR PTE. LTD,82001,1.2757,103.8426
PT8799,CARPE DIEM SPRINGS PTE. LTD.,80108,1.2739,103.8357
EB0016,E-BRIDGE PRE-SCHOOL PTE LTD,100092,1.2762,103.8077
PT8541,PMI PRESCHOOL BY THE WOODS PTE LTD,574245,1.3448,103.8375
PT9137,MLC (SEMBAWANG) PTE. LTD.,750406,1.4529,103.817
ST0048,PCF SPARKLETOTS PRESCHOOL @ JURONG CENTRAL BLK 404 (CC),640404,1.3539,103.7225
PT9297,MAPLEBEAR SMARTCUBS PTE. LTD.,339407,1.3122,103.8629
ST0043,PCF SPARKLETOTS PRESCHOOL @ MOULMEIN-CAIRNHILL Blk 50 (CC),210050,1.3131,103.8509
PT8040,Pat's Schoolhouse Pte Ltd,309198,1.3201,103.8408
PT9797,White Lodge Preschool GPR,465466,1.3249,103.9448
PT9813,MapleBear Tree House Pte Ltd,369673,1.3344,103.8882
PT9015,Little Footprints Preschool Group Pte Ltd,760865,1.4143,103.8382
